Year,State,Number of CoCs,Overall Homeless
2013,NJ,17,"12,002"
2013,NM,2,"2,819"
2013,NV,3,"7,039"
2013,NY,30,"77,430"
2013,OH,9,"12,325"
2013,OK,8,"4,408"
2013,OR,7,"13,822"
2013,PA,18,"15,086"
2013,PR,2,"4,128"
2013,RI,1,"1,384"
2013,SC,4,"6,544"
2013,SD,1,"1,094"
2013,TN,10,"9,528"
2013,TX,12,"29,615"
2013,UT,3,"3,277"
2013,VA,16,"7,625"
2013,VI,1,482
2013,VT,2,"1,454"
2013,WA,7,"17,760"
2013,WI,4,"6,104"
2013,WV,4,"2,240"
2013,WY,1,953
2012,AK,2,"1,913"
2012,AL,8,"5,209"
2012,AR,6,"4,214"
2012,AS,0, 
2012,AZ,3,"11,302"
2012,CA,42,"120,098"
2012,CO,3,"16,768"
2012,CT,7,"4,209"
2012,DC,1,"6,954"
2012,DE,1,"1,008"
2012,FL,28,"55,170"
2012,GA,7,"20,516"
2012,GU,1,"1,301"
2012,HI,2,"6,246"
2012,IA,3,"2,928"
2012,ID,2,"1,968"
2012,IL,20,"14,144"
2012,IN,3,"6,259"
2012,KS,5,"2,684"
2012,KY,3,"5,230"
2012,LA,9,"7,772"
2012,MA,19,"17,501"
2012,MD,16,"9,454"
2012,ME,2,"2,393"
2012,MI,21,"12,592"
2012,MN,10,"7,744"
2012,MO,8,"10,237"
2012,MP,0, 
2012,MS,3,"2,413"
2012,MT,1,"1,833"
2012,NC,12,"13,524"
2012,ND,1,688
2012,NE,3,"3,789"
2012,NH,3,"1,496"
2012,NJ,19,"13,025"
2012,NM,2,"3,245"
2012,NV,3,"8,497"
2012,NY,31,"69,566"
2012,OH,9,"13,977"
2012,OK,8,"5,032"
2012,OR,7,"15,828"
2012,PA,18,"14,736"
2012,PR,2,"3,212"
2012,RI,1,"1,277"
2012,SC,4,"4,915"
2012,SD,1,859
2012,TN,10,"9,426"
2012,TX,14,"34,052"
2012,UT,3,"3,527"
2012,VA,19,"8,424"
2012,VI,1,484
2012,VT,2,"1,160"
2012,WA,7,"20,504"
2012,WI,4,"6,027"
2012,WV,4,"2,410"
2012,WY,1,"1,813"
2011,AK,2,"2,128"
2011,AL,8,"5,558"
2011,AR,7,"3,424"
2011,AS,0, 
2011,AZ,3,"10,504"
2011,CA,42,"125,128"
2011,CO,3,"15,116"
2011,CT,7,"4,456"
2011,DC,1,"6,546"
2011,DE,1,"1,035"
2011,FL,28,"56,687"
2011,GA,7,"20,975"
2011,GU,1,"1,745"
2011,HI,2,"6,188"
2011,IA,3,"3,134"
2011,ID,2,"2,199"
2011,IL,20,"14,009"
2011,IN,3,"6,196"
2011,KS,5,"2,511"
2011,KY,3,"6,034"
2011,LA,9,"9,291"
2011,MA,20,"16,664"
2011,MD,16,"10,208"
2011,ME,3,"2,447"
2011,MI,21,"13,185"
2011,MN,10,"7,495"
2011,MO,8,"8,989"
2011,MP,0, 
2011,MS,3,"2,306"
2011,MT,1,"1,768"
2011,NC,12,"12,896"
2011,ND,1,603
2011,NE,3,"3,548"
2011,NH,3,"1,469"
2011,NJ,19,"14,137"
2011,NM,2,"3,601"
2011,NV,3,"9,150"
2011,NY,32,"63,445"
2011,OH,9,"13,030"
2011,OK,8,"4,625"
2011,OR,7,"17,254"
2011,PA,18,"15,096"
2011,PR,2,"2,900"
2011,RI,1,"1,070"
2011,SC,4,"5,093"
2011,SD,1,826
2011,TN,10,"9,113"
2011,TX,16,"36,911"
2011,UT,3,"3,130"
2011,VA,20,"8,816"
2011,VI,1,532
2011,VT,2,"1,144"
2011,WA,7,"20,439"
2011,WI,4,"5,785"
2011,WV,4,"2,211"
2011,WY,1,"1,038"
2010,AK,2,"1,863"
2010,AL,8,"6,046"
2010,AR,5,"2,762"
2010,AS,0, 
2010,AZ,3,"13,711"
2010,CA,43,"123,480"
2010,CO,3,"15,482"
2010,CT,10,"4,316"
2010,DC,1,"6,539"
2010,DE,1,982
2010,FL,28,"57,551"
2010,GA,7,"19,836"
2010,GU,1,"1,635"
2010,HI,2,"5,834"
2010,IA,3,"3,014"
2010,ID,2,"2,346"
2010,IL,21,"14,395"
2010,IN,3,"6,452"
2010,KS,5,"2,024"
2010,KY,3,"6,623"
2010,LA,9,"12,482"
2010,MA,20,"16,646"
2010,MD,16,"10,845"
2010,ME,3,"2,379"
2010,MI,21,"13,058"
2010,MN,11,"7,869"
2010,MO,8,"8,122"
2010,MP,0, 
2010,MS,3,"2,743"
2010,MT,1,"1,615"
2010,NC,12,"12,191"
2010,ND,1,799
2010,NE,7,"3,877"
2010,NH,3,"1,574"
2010,NJ,20,"13,737"
2010,NM,2,"3,475"
2010,NV,3,"11,205"
2010,NY,32,"65,606"
2010,OH,9,"12,569"
2010,OK,8,"5,229"
2010,OR,8,"19,492"
2010,PA,17,"14,516"
2010,PR,2,"4,149"
2010,RI,1,"1,282"
2010,SC,4,"4,473"
2010,SD,1,731
2010,TN,10,"10,276"
2010,TX,17,"35,121"
2010,UT,3,"3,284"
2010,VA,22,"9,080"
2010,VI,1,487
2010,VT,2,"1,220"
2010,WA,7,"22,878"
2010,WI,4,"6,333"
2010,WV,4,"2,264"
2010,WY,1,579
2009,AK,2,"1,992"
2009,AL,8,"6,080"
2009,AR,6,"2,852"
2009,AS,0, 
2009,AZ,3,"14,721"
2009,CA,43,"123,678"
2009,CO,3,"15,268"
2009,CT,12,"4,605"
2009,DC,1,"6,228"
2009,DE,1,"1,130"
2009,FL,28,"55,599"
2009,GA,7,"20,360"
2009,GU,1,"1,088"
2009,HI,2,"5,782"
2009,IA,3,"3,380"
2009,ID,2,"1,939"
2009,IL,21,"14,055"
2009,IN,3,"6,984"
2009,KS,5,"1,892"
2009,KY,3,"5,999"
2009,LA,9,"12,504"
2009,MA,20,"15,482"
2009,MD,16,"11,698"
2009,ME,3,"2,444"
2009,MI,22,"14,005"
2009,MN,11,"7,718"
2009,MO,8,"6,959"
2009,MP,0, 
2009,MS,3,"2,797"
2009,MT,1,"1,196"
2009,NC,12,"12,918"
2009,ND,1,773
2009,NE,7,"3,718"
2009,NH,3,"1,645"
2009,NJ,20,"13,169"
2009,NM,2,"3,475"
2009,NV,3,"11,089"
2009,NY,32,"61,067"
2009,OH,9,"12,700"
2009,OK,8,"4,838"
2009,OR,8,"17,309"
2009,PA,17,"15,096"
2009,PR,2,"4,070"
2009,RI,1,"1,607"
2009,SC,5,"4,473"
2009,SD,1,731
2009,TN,10,"10,532"
2009,TX,18,"36,761"
2009,UT,3,"3,795"
2009,VA,22,"8,852"
2009,VI,1,471
2009,VT,2,"1,214"
2009,WA,7,"22,782"
2009,WI,4,"6,525"
2009,WV,4,"1,667"
2009,WY,1,515
2008,AK,2,"1,646"
2008,AL,8,"5,387"
