Year,State,State name,Overall Homeless,Population,Percent of Population
2013,SD,South Dakota,1094,842316,0.0013
2013,TN,Tennessee,9528,6494340,0.0015
2013,TX,Texas,29615,26480266,0.0011
2013,UT,Utah,3277,2897640,0.0011
2013,VA,Virginia,7625,8252427,0.0009
2013,VT,Vermont,1454,626210,0.0023
2013,WA,Washington,17760,6963985,0.0026
2013,WI,Wisconsin,6104,5736754,0.0011
2013,WV,West Virginia,2240,1853914,0.0012
2013,WY,Wyoming,953,582122,0.0016
2012,AK,Alaska,1913,730443,0.0026
2012,AL,Alabama,5209,4815588,0.0011
2012,AR,Arkansas,4214,2952164,0.0014
2012,AZ,Arizona,11302,6554978,0.0017
2012,CA,California,120098,37948800,0.0032
2012,CO,Colorado,16768,5192647,0.0032
2012,CT,Connecticut,4209,3594547,0.0012
2012,DC,District of Columbia,6954,634924,0.011
2012,DE,Delaware,1008,915179,0.0011
2012,FL,Florida,55170,19297822,0.0029
2012,GA,Georgia,20516,9901430,0.0021
2012,HI,Hawaii,6246,1394804,0.0045
2012,IA,Iowa,2928,3076190,0.001
2012,ID,Idaho,1968,1595324,0.0012
2012,IL,Illinois,14144,12882510,0.0011
2012,IN,Indiana,6259,6537703,0.001
2012,KS,Kansas,2684,2885257,0.0009
2012,KY,Kentucky,5230,4386346,0.0012
2012,LA,Louisiana,7772,4600972,0.0017
2012,MA,Massachusetts,17501,6663005,0.0026
2012,MD,Maryland,9454,5886992,0.0016
2012,ME,Maine,2393,1327729,0.0018
2012,MI,Michigan,12592,9897145,0.0013
2012,MN,Minnesota,7744,5376643,0.0014
2012,MO,Missouri,10237,6024367,0.0017
2012,MS,Mississippi,2413,2983816,0.0008
2012,MT,Montana,1833,1003783,0.0018
2012,NC,North Carolina,13524,9749476,0.0014
2012,ND,North Dakota,688,701176,0.001
2012,NE,Nebraska,3789,1853303,0.002
2012,NH,New Hampshire,1496,1324232,0.0011
2012,NJ,New Jersey,13025,8844942,0.0015
2012,NM,New Mexico,3245,2087309,0.0016
2012,NV,Nevada,8497,2743996,0.0031
2012,NY,New York,69566,19572932,0.0036
2012,OH,Ohio,13977,11548923,0.0012
2012,OK,Oklahoma,5032,3818814,0.0013
2012,OR,Oregon,15828,3899001,0.0041
